2017-09-25 16:17:04,703 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mall:mall-web:0.0.1-SNAPSHOT @ E:\java-eclipse(boot5)\mall-web\pom.xml.
2017-09-25 16:17:05,084 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:05,091 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-facade:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:06,210 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:06,217 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-facade:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:08,332 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:08,336 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-25 16:17:08,347 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-25 16:17:08,353 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:08,353 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java-eclipse(boot5)\mall-web\src\test\resources
2017-09-25 16:17:10,892 [main] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:10,898 [main] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-facade:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:23,632 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-09-25 16:17:24,456 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mall:mall-web:0.0.1-SNAPSHOT @ E:\java-eclipse(boot5)\mall-web\pom.xml.
2017-09-25 16:17:24,780 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:24,785 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-facade:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:25,219 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:25,224 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-facade:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:26,353 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mall-web/src/main/java
2017-09-25 16:17:26,353 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /mall-web/src/main/resources
2017-09-25 16:17:26,353 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /mall-web/src/main/resources
2017-09-25 16:17:26,354 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mall-web/src/test/java
2017-09-25 16:17:27,007 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:27,016 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-facade:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:27,253 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for mall-web
2017-09-25 16:17:27,263 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2017-09-25 16:17:27,685 [main] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-common:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:27,692 [main] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mall:mall-facade:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-09-25 16:17:27,816 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:27,817 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-25 16:17:27,827 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-25 16:17:27,832 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:27,832 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java-eclipse(boot5)\mall-web\src\test\resources
2017-09-25 16:17:27,832 [Worker-3] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of mall-web
2017-09-25 16:17:27,833 [Worker-3] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for mall-web
2017-09-25 16:17:27,837 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:40,483 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mall:mall-service:0.0.1-SNAPSHOT @ E:\java-eclipse(boot5)\mall-service\pom.xml.
2017-09-25 16:17:40,865 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:40,867 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:40,871 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:40,874 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:40,888 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:40,889 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:40,903 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:40,906 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:41,538 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:41,540 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:41,543 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:41,545 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:41,551 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:41,553 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:41,557 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:41,559 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:41,755 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:41,756 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-25 16:17:41,758 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-25 16:17:41,763 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:41,763 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java-eclipse(boot5)\mall-service\src\test\resources
2017-09-25 16:17:42,905 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:42,906 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-common:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
